SAMPLE,Ag,As,Au,Ba,Be,Bi,Br,Ca,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe,Ga,Gd,Ge,Hf,Hg,Ho,I,In,La,Li,Lu,Mg,Mn,Mo,Nb,Nd,Ni,Pb,Pd,Pr,Pt,Rb,Re,Sb,Sc,Se,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,U,V,W,Y,Yb,Zn,Zr,Final pH
DESCRIPTION,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppm,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,Unity
S000 117,1.4,22.3,1.51,2230,37,1.1,0.62,35.8,4.1,983,603,28,3.6,429,256,121,66.8,68,16.1,269,3,6.48,1.8,47.3,0.23,0.5,283,6.2,10.9,57,13.65,3.1,0.5,816,382,1670,0.23,166.5,0,328,0,1.5,218,15,234,0.6,413,0,41.9,0,327,245,0.37,14.8,105.5,37.4,0.2,1240,79.1,360,183.5,6.4
S000 118,0.6,8.5,0.97,3200,39.7,1.3,0.38,9.8,8.6,142.5,906,5,3.4,528,330,234,28.4,80.1,7.9,140.5,1.1,2.56,1.3,78,0.18,1,35.3,3.3,24.2,91.8,11.5,1,0.1,194,305,1940,0,31.2,0,299,0.01,0.9,290,10,81,0,470,0,36.9,0,174,28,0.66,30.6,127.5,29,0,1845,170,580,75.3,6
S000 119,0.1,6.3,0.13,7690,13.7,1.4,0.33,220,8.7,49.8,1065,4,6,862,235,233,10.7,55.7,8.6,55.4,0.7,1.13,1.1,67.1,0.07,1.5,12.5,3.4,25.7,144,41.3,0.8,0.2,65.9,267,265,0,10.5,0,418,0.02,0.9,265,12,29.6,0,5520,0,19.5,0,19.9,67,0.93,32.3,19.6,16.1,0.1,1180,185.5,320,33.6,6
S000 120,4.9,27,0.75,3160,23.1,0.7,0.8,42.1,7.5,159,350,16,3.6,962,96.6,54.2,17.2,54.2,12,77.6,1.5,5.04,3.4,19.5,0.4,0.4,43.1,11.2,5.8,85,33.4,4.8,0.8,148.5,2360,669,0,26.5,0,347,0.01,2.1,159,17,55.2,1,749,0.06,13.7,0,214,421,0.66,7.1,67.6,34.2,0.4,505,40.5,690,166,6.7
S000 121,22.4,560,156.5,2860,0.7,0,0,122,9,24.4,481,5,0.8,3050,41.8,20.4,9.4,7.6,1.4,45.1,0.6,0.62,663,8,0.08,0,10,1.6,2.3,22.2,18.3,29.6,0,48.4,241,21.7,0.09,6.6,0,17.4,0,5.2,11,7,25.6,0.3,566,0,6.6,0,3.33,25,0.64,2.5,23.1,6.3,0.3,203,14.1,19800,20.9,9.5
S000 122,0.6,36.6,1.1,3020,20.2,0.6,0.41,10,11.4,32.6,1100,9,3.2,545,57,47.1,4.1,44.4,7.7,21.8,0.7,2.54,10,14.4,0.14,0.3,9.7,5.8,5.4,39.8,20.3,3.7,0.5,30.2,541,724,0,5.3,0,297,0,1.3,80,10,12.1,0.2,351,0.05,5.7,0,101.5,176,0.47,6.7,33.4,29.9,0.3,339,38.6,17500,69.1,6.4
S000 123,0.7,16,0.71,6510,20.8,0.4,0.34,84.9,4.4,248,941,8,1.9,682,125,79.7,21.4,36.5,8.4,97.7,1.2,2.51,2.8,27.7,0.25,0.2,72.6,3.4,8.4,117.5,31.8,3,0.3,228,511,473,0,43.4,0,239,0.01,1.3,121,12,74.1,0.3,1580,0,17.4,0,144,124,0.53,10.4,62.1,20.7,0.2,730,59.8,400,81.1,6.4
S000 124,0.2,0,0.05,5060,8.7,0,0.43,331,7,193.5,1200,13,0.1,3490,712,541,88.3,40.9,4.4,372,1.8,0.34,0.8,176.5,0.13,0.3,60.8,7.8,52.6,423,27.3,0,0,364,2500,22.1,0,53.6,0,31.1,0.01,0,427,7,187,0,3710,0,81.1,0,6.01,19,0.09,72.4,11.6,22,0.1,3820,403,2830,6.9,6
S000 125,0.2,0,0.73,7560,0.8,0,0.66,391,5.5,134.5,1730,5,0.4,3700,382,254,67.5,8.2,3.4,287,1.9,0.28,0.5,88.3,0.91,0.1,58.3,2.7,22.1,402,35.6,1.3,0,311,1690,34.8,0,43.8,0,64.9,0.03,0.5,55,11,152.5,0,4210,0,51.3,0,1.51,0,0.44,31,11.2,13.8,0,2140,164.5,550,4.6,6.4
S000 126,0.2,7.8,0.38,11600,20.6,1.9,0.32,68.6,12,29.3,3690,6,9.8,1700,141.5,150.5,5.8,58.7,8.7,31.9,1.2,2.36,1.2,42,0.16,1.1,7.4,7,17.1,85.1,25,3.1,0.4,30.4,782,532,0,5.1,0,560,0.01,1.4,222,12,15.3,0.5,1720,0,11.3,0,50.5,172,1.21,21.7,41.5,38.5,0.2,841,123,2060,61.9,6
S000 127,5,17.8,1.6,4860,45.9,0.6,1.17,23.7,4.3,2790,1230,21,2.6,759,656,355,190.5,55.5,25.8,735,7.2,5.23,1.5,129.5,0.49,0.6,803,3.6,36.1,150.5,21,2.7,0.2,2410,433,998,0,478,0,272,0.01,1.8,360,26,668,0.4,583,0,108.5,0,277,108,0.74,45.6,175.5,26.8,0.1,3440,254,320,182.5,6.7
S000 128,1.1,26.1,0.58,2400,18.1,1.3,0.41,25.1,6.9,108.5,1060,23,3,352,52.6,32.1,8.9,72.9,11.9,38.9,1,4.62,1.6,11.1,0.21,0.7,29.9,6.5,4,41.6,22,2.3,0.5,88.3,294,910,0,16.7,0,260,0,1.6,123,10,29.7,0.6,602,0,7.3,0,162,207,0.58,4.2,38.5,41.6,0.2,264,25.1,770,127,6
S000 129,0.1,5,0.11,4530,8.8,1,0.27,78,5.2,31,530,3,14.7,1020,138.5,131.5,6.4,14.2,4.9,35.6,0.6,0.92,1.1,39,0.15,0.3,7.4,2.5,14.8,129,35.6,1.1,0.2,42.2,166,125.5,0,6.7,0,741,0.01,0.5,188,6,19,0,2020,0,11.9,0,28.3,111,2.71,18,11.7,8.3,0.1,780,104.5,360,25.8,6
S000 130,6,2,4.79,3830,4.2,0,0.45,202,7.2,225,280,2,1.7,1710,209,112,45.2,11.9,3.6,201,1.4,0.52,0.9,41.4,0.32,0.1,86.3,1.1,11,180,19.55,1.9,0,334,3300,900,0,55.5,0,193,0.02,0.6,52,12,132.5,0,2100,0,31.7,0,21.1,5,0.3,14.1,70.4,2.4,0.1,1100,76,1970,22.1,6
S000 131,3.1,20,1.99,4080,22.1,0.7,0.43,10.6,6.3,263,807,13,4.2,1500,111.5,52.1,20.8,37.4,9,82.8,1.3,3.53,1.6,20.8,0.31,0.7,60.3,5.7,4.6,91.2,19.05,2.3,0.3,179,927,764,0.06,34.2,0,461,0.02,1.8,249,16,59.8,0.2,213,0,16.7,0,122,118,0.79,6.2,61,29.1,0.1,521,33.1,1140,110,6.4
S000 132B,2.4,94.2,1.05,2740,28.7,1.3,0.84,37,5,351,1630,46,3.4,638,98.4,49.5,22.1,132,14.5,95.9,2,9.86,4.4,19.1,0.35,0.5,111,7.4,4.8,77.4,23.5,13.4,1,267,716,842,0,55.2,0,357,0,3.4,165,22,73.8,1.1,316,0.09,15.6,0,279,436,0.31,6.1,81.2,104.5,0.6,567,33.3,590,305,6.7
