SAMPLE,Ag,As,Au,Ba,Be,Bi,Br,Ca,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe,Ga,Gd,Ge,Hf,Hg,Ho,I,In,La,Li,Lu,Mg,Mn,Mo,Nb,Nd,Ni,Pb,Pd,Pr,Pt,Rb,Re,Sb,Sc,Se,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,U,V,W,Y,Yb,Zn,Zr,Final pH
DESCRIPTION,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppm,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,Unity
S000 160,0.7,2.3,0.15,4970,12.7,0,0.24,57.6,6.8,7,2150,4,0.3,761,56.7,63.2,2.2,115,6.6,10.7,0.5,0.54,0.6,17.5,0.07,1.3,2.1,23,6.6,195,5.72,0,0.1,7.6,1130,449,0,1.3,0,158,0,0,355,4,4.4,0,1940,0,4.3,0,13.6,53,0.21,9.1,11.1,14,0,261,53.9,3550,16.4,6
S000 161,1.8,20.8,0.11,2540,17.5,1.3,0.43,65.9,7.4,25.2,1735,14,2.3,161,28.1,18.3,2.7,94.5,10.9,13.8,0.3,2.02,1.2,6.4,0.13,0.4,8.3,7.1,1.7,57.4,34.4,2.3,0.7,19.8,372,1860,0,3.8,0.1,259,0,0.6,53,6,7.7,1.1,1430,0.05,3.4,0,78.4,271,0.33,2.3,22.9,26.4,0.4,140.5,13,930,58.6,6.4
S000 162,1.3,16.4,0.31,5280,23.9,0.8,0.54,37.1,6.4,79.4,3180,10,4.1,881,159.5,106.5,13.8,69.8,8.5,72.7,0.7,2.55,1.5,37.1,0.17,0.6,20.7,7,9,86.6,27.3,3.2,0.5,85.2,649,659,0,14.3,0,584,0,1,144,10,38.2,0,1100,0,18.6,0,94.8,213,0.41,13.1,59.6,36.4,0.2,839,68.5,1050,68,6.4
S000 163,0.5,10.2,0.28,7850,21.8,1.7,0.31,206,19.6,24.6,1910,2,3.1,1460,208,196,8.4,52.5,6.5,49.2,0.4,0.94,0.8,59.3,0.08,0.5,5.4,3.9,20,160,33.5,0.9,0.2,36.8,957,325,0,5.5,0,282,0.01,0,146,7,20.5,0,5330,0,17.9,0,38.3,68,1.1,26.2,32.5,9.7,0.1,1150,147.5,3560,26.9,6
S000 164,1.3,13,0.56,4470,21.3,1.1,0.34,167.5,17.3,24.4,13400,9,2.5,2080,56.6,75.4,2.9,103,11.4,14.7,0.7,2.19,1.4,18.4,0.12,0.7,6.7,11.1,10,163,71.4,1.1,0.3,19.1,561,229,0,3.5,0,246,0.01,0.8,111,8,7.5,0,4030,0,4.7,0,30.3,174,1.13,12.1,31.5,22.5,0.1,267,72.6,5950,65.2,6
S000 165,1.6,3.7,0.03,4930,15.7,1.3,0.54,288,14.1,24.1,1190,13,4.9,1370,99.7,80.2,5.1,82.8,11.9,26.9,0.8,1.21,1.5,26.1,0.12,0.9,6.9,10.7,6,149,25.4,1.5,0.4,27.3,550,413,0,4.6,0,352,0,0.6,160,13,12.2,0,6940,0,9,0,21.1,167,1.21,9.9,21,30.7,0.1,489,50.5,1640,37.2,6
S000 166,0.2,4.9,0,4210,3.2,4.6,0.27,381,1.2,4,2920,5,2.9,19,0.6,0.6,0,162,13.9,0.5,0.6,0.97,0.3,0.1,0.05,1.1,1.9,15.7,0.5,196.5,68.7,0.5,0.4,2,528,7.1,0,0.5,0,288,0,0.5,56,7,0.3,0,8740,0,0.1,0,10.65,60,1.2,0.1,2.97,16.5,0.1,2.7,1.6,180,24.7,6
S000 167,0.4,3,0,4330,7,3.7,0.25,47.5,0.8,7.9,843,4,5.7,54,1.8,4.2,0.1,124,10.8,1.1,0.5,1.12,0.7,0.7,0.05,1,3.8,10.6,1.6,59.8,17.2,0,0.4,3.9,267,46.8,0,1,0,581,0,0,59,6,0.9,0,1590,0,0.2,0,13.7,76,0.73,1.1,3.92,10.5,0.1,8.6,9.8,70,27.2,6
S000 168,0,2.8,0,1600,18.8,2.5,0.21,13.8,0.3,18.7,993,5,3.4,7,2.8,2.7,0.4,126,10.4,2.3,0,1.7,0.2,0.7,0.06,0.7,8.4,12.2,1.2,53.2,4.35,0,0.3,8.4,128,32.8,0,2.4,0.1,440,0,0,60,6,2,0.3,537,0,0.4,0,56.3,109,0.31,0.6,11.45,10.3,0.1,15,6.3,30,42.1,6
S000 169,2.3,13,0.08,2590,23.3,0.6,0.79,34.3,5,285,2910,38,2.5,806,217,113.5,41.1,181,12.6,170,1.3,4.34,1.2,42.8,0.25,0.7,75.3,7,9.8,93.8,9.76,2.8,1.2,285,1040,871,0,49.6,0,296,0,1.1,284,15,113,0.7,466,0.08,32.2,0,113.5,607,0.22,13.8,48.2,77,0.2,1055,74.9,830,122.5,6.7
S000 170,1.3,0,0.1,5770,5.2,0,0.87,695,3.4,682,685,8,0.6,2460,867,469,167,11.8,6.4,721,2.3,0.3,0.5,175.5,0.16,0.1,222,4.3,37.1,529,13.85,0,0,895,1370,1085,0,143,0,42.8,0.02,0,534,5,388,0,5970,0,119,0,6.68,0,0.09,57.7,10.05,4.4,0.1,4330,301,780,8.2,6.4
S000 171,3.7,32,0.76,2830,17.2,1.1,0.63,74.2,11.2,71.5,2990,12,1.1,840,95.1,47.1,16.1,84.9,9.2,67.7,0.6,1.06,1.4,18.7,0.14,0.7,19.3,16.8,3.7,125.5,26.1,1.8,0.2,75.7,1050,1575,0,12.7,0,192,0,0.8,117,11,36.6,0.2,1340,0,14.1,0,35.7,137,0.14,5.5,27,23.6,0.1,418,28.9,660,30.6,6.4
S000 172,1.1,6.9,0.41,4750,22.1,0.8,0.41,5.8,3.8,54.7,2220,4,3.5,550,353,308,20.8,62.7,6.7,123,0.6,2.12,0.9,93.9,0.22,0.6,12.3,3.7,37.2,98.3,17.7,0.5,0.2,107,567,1090,0,14.1,0,384,0.01,0.6,284,10,56.2,0.3,238,0,35.9,0,104.5,92,0.67,43.4,81.8,14.3,0.1,2050,259,270,65.2,6.4
S000 173,0.8,20,0.5,2880,18.3,0.6,0.47,152.5,10.1,40.6,5460,10,3.3,412,163.5,129,10.1,118,9.7,52,0.5,1.9,1.4,42.7,0.12,0.8,12.1,15.2,11.5,158.5,25.8,1.2,0.5,50.1,563,651,0,8.2,0,459,0.01,0.6,242,7,23.5,0.3,2820,0,16.4,0,54.2,261,0.29,16.7,31.9,28.8,0.1,813,92.9,960,51.1,6.4
S000 174,2,17,0.98,3240,30.4,0.8,0.69,103,9.4,313,1520,13,1.6,1550,494,303,58.1,68.7,8.5,296,1.3,3.38,1.1,108.5,0.16,0.9,79,4.4,25,152,32.3,2.7,0.2,372,918,858,0,60.1,0,330,0.01,1.2,242,15,162.5,0,2700,0,63.3,0,129,59,0.36,36.8,106,32,0.1,2590,194,1130,92.3,6.4
S000 175,0.7,3.8,0.04,3330,7.3,1,0.24,68.4,2.6,5.3,4230,10,0.9,932,8.3,13.7,0.3,103,11.4,1.7,0.4,0.87,0.5,3.2,0.06,1.4,2.1,5,2,92.1,34.5,0,0.2,3.6,649,174.5,0,0.6,0,133.5,0,0.7,111,11,0.9,0,1630,0,0.6,0,8.99,87,0.48,2.3,8.52,15.4,0.1,40.8,14.9,450,25,6
S000 176,0.3,7.8,0,4150,6.8,2.2,0.22,28.7,2.1,6.4,1515,4,10.1,300,9.4,18.1,0.2,100,10.4,1.6,0.2,1.74,0.6,4,0.06,1.4,2.5,3.6,2.6,65.2,18.6,0,0.2,3.1,327,209,0,0.8,0,693,0,0,86,8,1.1,0,959,0,0.5,0,18.05,51,0.85,3.1,7.56,8.9,0.1,45.7,18.9,80,41.7,6
S000 177,0.3,1.1,0.03,6090,36.5,2.2,0.32,15.4,11.8,80.4,699,3,5.9,479,479,445,16.5,62.1,7.9,112,0.5,1.28,0.4,134,0.11,0.8,22.8,3.1,44.8,216,21.2,1,0.2,117.5,289,1760,0,18.9,0,452,0.01,0,242,11,56.3,0,527,0,41.6,0,118.5,54,1.12,61.7,60.5,9.2,0,2540,351,870,34.7,6.4
S000 178,0.4,4.9,0.02,1660,41.2,2.8,0.4,78.2,4.8,258,389,8,1.9,196,289,171,25.2,98,10.4,158,0.8,1.34,0.5,63.2,0.09,0.8,81.6,6.1,12.9,103.5,29.8,0.9,0.3,243,262,2240,0,45.7,0,249,0,0,109,7,94.9,0,1730,0,36.4,0,224,82,0.33,20.8,65.2,11.1,0.1,1600,106.5,650,32.1,6
S000 179,1.7,13.2,0.09,3680,20.2,0.9,0.5,149,6.2,213,742,20,1.9,404,107,57.9,21.7,104,8.1,94,0.7,2.86,1.7,21.6,0.16,0.5,61.3,3,5.4,76.8,25.5,2.8,0.5,175,521,1255,0,33.3,0,233,0,0.5,196,7,64,0.3,1220,0,16.5,0,123,230,0.3,7.3,38.9,33.3,0.2,501,41.5,690,91.8,6.7
S000 180,3.6,0,0.15,3740,2.2,0,0.95,964,2.1,466,491,11,0.3,4800,1025,605,174,3.6,4.5,809,1.9,0.28,0.6,228,0.47,0.1,187.5,2.7,54.2,642,11.65,0,0,789,1970,14.8,0,116.5,0,18.9,0.03,0,328,0,384,0,6560,0,134.5,0,1.68,0,0.12,75.3,7.29,3.4,0.1,5610,412,200,6.5,6
S000 181,5.3,23,0.14,3650,14.8,0.9,0.53,97.1,11.7,77.8,3260,17,3.6,528,166.5,94,18.1,108.5,11.5,84.2,0.8,1.6,1.6,35.1,0.1,0.7,20.1,16.1,7.8,132.5,22.7,1.4,0.6,88.8,2070,1555,0,14.5,0,408,0,0.6,184,6,42.8,0.4,1850,0,20.7,0,47.5,354,0.3,11.5,22.1,45.8,0.2,773,61,330,45.7,6
S000 182,1.5,0,0.83,6470,7,0,0.98,479,3.1,696,1025,9,0.2,2810,1165,649,191.5,18.5,7.1,900,2.6,0.38,0.6,248,0.29,0.1,279,3.5,52.6,589,25.6,0,0,1085,1190,76.8,0,179,0,30.6,0.04,0,364,0,472,0,4610,0,152,0,11,10,0.11,80.8,26.2,14.9,0.2,5410,430,420,9.1,6
S000 183,0.6,0,0.49,4810,21.4,0,0.57,164.5,4.3,731,1685,10,0.4,1280,414,209,81.7,64.1,9.3,339,1.5,1.28,1.1,81.8,0.19,0.5,174.5,1.8,14.7,296,19.4,0.7,0.1,613,548,234,0,110.5,0,118,0.01,0,854,12,225,0,2490,0,62.4,0,82.6,55,0.16,25,39.3,31.4,0.1,1990,125.5,460,30.5,6
S000 184,2,5.8,0.62,4240,14.7,0.4,0.41,21.7,26.3,59.9,1440,3,5.6,3460,457,415,23.2,38.9,4.6,132,0.6,1.06,1.1,127,0.19,0.2,16.3,6.2,44.7,229,23.8,0.9,0.2,112.5,2260,292,0,16.2,0,776,0.02,0,202,10,58,0,646,0,42.7,0,48.3,52,1.82,56.5,59.5,8.2,0.1,2460,322,1640,30.7,6
S000 185,0.8,4.2,0.08,2970,13.2,1.3,0.18,42,6.2,9.9,11600,4,9.7,1170,47.5,58.3,1.3,80.5,10.2,7.7,0.3,1.8,1.6,15.5,0.07,1.6,2.7,11.1,6.1,99,50.9,0,0.1,7.4,1000,185,0,1.3,0,670,0,0.6,190,7,3.3,0,1110,0,3.4,0,31.2,35,1.35,8.1,30.3,6.8,0,232,47.4,530,47.2,6
S000 186,0.4,4.3,0,1940,14.5,1.8,0.42,15.5,2.7,10.7,1350,8,6.1,89,17,19,0.6,94.2,10.3,3.6,0.4,2.58,0.9,5.2,0.12,1.3,4.7,6.3,2.4,52.9,7.03,0.9,0.5,6.6,371,887,0,1.4,0,591,0,0,100,9,2.4,0.5,419,0.06,1.3,0,73.8,190,0.3,3,19.25,12.1,0.1,89.2,19.1,150,55.8,6
S000 187,1.5,15,0.03,1050,17.9,1.7,0.59,13.8,2.5,58.2,428,25,6.5,74,37.6,26.4,3.8,108,16.4,19.6,0.7,3.27,0.7,8.7,0.21,0.8,22.6,8.4,2.9,41.1,5.04,1.8,1.2,43.9,158,1205,0,8.7,0,510,0,0.7,105,10,14.6,1,334,0.1,4.6,0,134,496,0.52,3.7,39.5,42.2,0.3,192,21.4,220,85.8,6
S000 188,3,3.9,0.07,1750,45.3,1.6,0.77,18.7,2.6,1560,687,18,5.7,226,340,158.5,69.6,78.8,19.2,322,2.5,3.35,0.9,63.8,0.21,1,549,5.3,11,71.5,10,2.1,0.5,1070,226,2110,0,239,0,349,0.01,0.6,224,11,288,0.5,328,0,54.4,0,349,200,0.46,18.9,86.9,27.3,0.1,1690,96.3,340,87.6,6.4
S000 189,1.4,0,0.1,8980,17.6,0,0.79,445,5.5,420,981,4,0.5,3100,1435,969,148.5,47.4,6.7,706,1.8,0.49,0.6,335,0.24,0.4,105,6.8,79.5,446,12.7,0,0,719,1490,211,0,103.5,0,104.5,0.04,0,894,0,345,0,4790,0,156,0,22.1,0,0.16,116.5,35,3.8,0,7050,642,800,11.4,6
S000 190,5.4,0,0.22,4390,0,0,0.52,673,1.8,104.5,774,1,0.7,2800,231,123.5,58.7,0.4,1.8,259,0.9,0.17,0.4,47.9,0.73,0,70.9,0.9,9.3,629,9.8,0,0,290,1480,13.6,0,40.5,0,23.6,0.02,0,80,5,131,0,4760,0,36.5,0,0.21,0,0.13,13.8,2.35,1.7,0.1,1345,70.3,150,2.3,6.4
S000 191,0.8,0.7,0.06,8500,15,0,0.89,904,4.1,399,731,9,0.2,5390,1325,901,122.5,36.4,6.2,597,1.4,0.37,0.3,319,0.36,0.3,97,6.5,79.2,590,16.95,0,0,567,2100,26.7,0,83,0,34.3,0.04,0,925,0,288,0,6970,0,141.5,0,6.53,14,0.15,114.5,14,3.4,0.1,6880,633,620,6.4,6
S000 192,1.6,0,0.34,10700,15.1,0,0.61,345,4.9,215,1685,7,0.1,3700,974,699,90.8,55.6,4.7,423,1.1,0.53,0.7,247,0.16,0.3,62.9,6.2,61.5,528,23.4,0,0,388,1320,118.5,0,56.2,0,66.3,0.03,0,574,0,208,0,4400,0,101.5,0,20.6,8,0.09,92,31.4,12.5,0.1,4820,507,680,13.7,6
